,currency pair,position_limit_for_min_leverage,max_leverage,position_limit_for_max_leverage
299,WAXP_USDT,"3,000,000",50x,"5,000"
300,XCH_USDT,NA,NA,NA
301,STPT_USDT,"3,000,000",50x,"5,000"
302,XEC_USDT,NA,NA,NA
303,RSS3_USDT,NA,NA,NA
304,BNT_USDT,"5,000,000",50x,"5,000"
305,IOST_USDT,"5,000,000",50x,"5,000"
306,DENT_USDT,"5,000,000",25x,"5,000"
307,ATA_USDT,"3,000,000",20x,"5,000"
308,REQ_USDT,NA,NA,NA
309,ONG_USDT,"2,000,000",50x,"5,000"
310,SUN_USDT,NA,NA,NA
311,MBL_USDT,"2,000,000",50x,"5,000"
312,AERGO_USDT,NA,NA,NA
313,ICX_USDT,"3,000,000",20x,"5,000"
314,CTC_USDT,NA,NA,NA
315,GODS_USDT,NA,NA,NA
316,USDC_USDT,"30,000,000",50x,"5,000"
317,RPL_USDT,NA,NA,NA
318,SNT_USDT,"2,000,000",50x,"5,000"
